,MUNICIPIO,OCORRÊNCIAS DE PORTE DE ENTORPECENTES,OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,Nº DE ARMAS DE FOGO APREENDIDAS,Nº DE FLAGRANTES LAVRADOS,Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,Nº DE INFRATORES APREENDIDOS POR MANDADO,Nº DE PESSOAS PRESAS EM FLAGRANTE,Nº DE PESSOAS PRESAS POR MANDADO,Nº DE PRISÕES EFETUADAS,Nº DE VEÍCULOS RECUPERADOS,TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS
0,Adamantina,29,12,7,4,12,36,3,0,46,68,36,0,290
0,Adolfo,2,0,0,2,1,2,2,0,2,3,2,1,40
0,Aguaí,24,13,4,8,32,85,5,0,114,37,139,22,279
0,Águas da Prata,3,1,0,0,2,7,0,0,13,7,15,3,36
0,Águas de Lindóia,15,7,2,2,96,14,0,0,19,18,35,19,132
0,Águas de Santa Bárbara,1,1,0,5,5,6,0,0,16,3,9,1,35
0,Águas de São Pedro,5,2,0,0,5,13,0,0,20,4,21,2,47
0,Agudos,7,9,10,10,13,34,2,1,41,35,68,36,186
0,Alambari,0,1,0,1,2,3,0,0,3,0,3,3,23
0,Alfredo Marcondes,2,0,0,5,2,1,0,0,1,9,5,0,26
0,Altair,0,1,0,0,0,4,0,0,5,0,4,0,31
0,Altinópolis,16,4,0,6,6,14,2,0,26,87,14,14,73
0,Alto Alegre,2,0,0,0,0,3,0,0,4,4,7,1,32
0,Alumínio,5,2,2,3,7,27,5,2,44,24,51,11,110
0,Álvares Florence,0,0,0,0,1,3,0,0,3,5,4,0,37
0,Álvares Machado,14,3,0,18,31,20,5,0,26,11,24,6,123
0,Álvaro de Carvalho,1,1,27,1,4,10,1,2,16,4,17,0,76
0,Alvinlândia,0,0,0,0,0,0,0,0,0,3,0,0,13
0,Americana,164,123,0,57,143,416,77,0,553,110,352,289,1.152
0,Américo Brasiliense,13,8,0,11,22,34,39,3,44,43,37,10,201
0,Américo de Campos,2,0,0,3,0,2,0,0,3,6,3,0,69
0,Amparo,75,36,7,22,48,93,12,0,125,68,161,35,404
0,Analândia,4,0,0,3,5,3,0,0,5,3,6,9,39
0,Andradina,68,38,16,62,65,139,14,11,179,119,258,8,637
0,Angatuba,14,8,1,2,2,19,1,0,32,6,21,4,137
0,Anhembi,5,2,0,1,4,5,0,0,6,5,5,6,22
0,Anhumas,1,0,0,2,7,1,0,0,3,3,6,0,19
0,Aparecida,45,17,2,15,26,126,8,1,167,61,228,29,435
0,Aparecida d'Oeste,1,0,0,5,2,1,0,0,1,4,1,0,30
0,Apiaí,5,2,0,23,31,16,1,0,16,30,46,4,186
0,Araçariguama,2,5,0,9,8,20,2,0,29,19,39,39,76
0,Araçatuba,190,129,1,99,250,397,55,32,511,333,751,91,1.736
0,Araçoiaba da Serra,14,7,4,12,30,44,1,0,68,17,61,40,243
0,Aramina,0,0,0,4,6,10,0,0,13,6,12,6,49
0,Arandu,2,1,0,4,4,4,0,0,5,1,5,6,32
